Observatory;Data_year;agglomeration;Zone_complementaire;Type_habitat;epoque_construction_homogene;anciennete_locataire_homogene;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_obsservations;nombre_logements;methodologie_production
B3100;2014;Agglomération de Toulouse;;Appartement;5. Après 2005;1. Moins 1 an;;;;;;;;;;;;;;;2402;;Estimation directe
B3100;2014;Agglomération de Toulouse;;Appartement;5. Après 2005;2. Un an et plus;;;;;;;;;;;;;;;2135;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;;;;7,9;9,3;10,9;12,8;15,1;10,4;385;443;550;680;802;582;56;9590;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;;;Maison 1-3P;;;;;;;;;;;;;;128;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;;;Ensemble 4P et plus;6,7;7,7;9,0;10,0;11,0;8,8;590;679;789;950;1100;831;94;1273;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;;;Maison 4P et plus;;;;;;;;;;;;;;315;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;;;Appart 1P;11,1;12,5;14,3;16,2;18,9;14,0;330;366;400;436;485;405;29;1709;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;;;Appart 2P;9,0;10,1;11,4;12,8;14,3;11,3;411;455;510;557;610;512;45;3288;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;;;Appart 3P;7,7;8,6;9,9;10,8;11,5;9,6;510;581;640;708;779;645;67;3192;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;;;Appart 4P et plus;6,7;7,6;8,7;9,7;10,9;8,7;553;635;750;899;1090;789;90;958;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;;;Ensemble 1P;11,0;12,5;14,3;16,2;18,9;14,0;330;367;400;438;490;406;29;1717;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;;;Ensemble 2P;9,0;10,1;11,4;12,8;14,2;11,3;410;454;511;557;613;512;45;3307;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;;;Ensemble 3P;7,8;8,7;10,0;10,8;11,6;9,7;514;584;644;715;789;651;67;3293;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;;1. Moins 1 an;;8,7;9,9;11,2;13,3;15,5;10,9;390;450;547;680;800;585;53;4095;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;;1. Moins 1 an;Ensemble 4P et plus;;;;;;;;;;;;;;421;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;;1. Moins 1 an;Ensemble 1P;;;;;;;;;;;;;;847;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;;1. Moins 1 an;Ensemble 2P;;;;;;;;;;;;;;1395;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;;1. Moins 1 an;Ensemble 3P;;;;;;;;;;;;;;1432;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;;2. Un an et plus;;;;;;;;;;;;;;;5495;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;;2. Un an et plus;Ensemble 4P et plus;;;;;;;;;;;;;;852;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;;2. Un an et plus;Ensemble 1P;;;;;;;;;;;;;;870;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;;2. Un an et plus;Ensemble 2P;;;;;;;;;;;;;;1912;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;;2. Un an et plus;Ensemble 3P;;;;;;;;;;;;;;1861;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;1. Avant 1946;;;7,6;9,4;11,3;14,0;16,9;10,5;374;420;530;664;850;585;56;1065;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;1. Avant 1946;;Ensemble 4P et plus;6,0;7,3;9,3;10,2;11,9;8,8;600;737;907;1100;1245;976;110;119;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;1. Avant 1946;;Ensemble 1P;10,1;12,6;14,5;17,6;20,4;14,2;335;374;400;435;500;408;29;364;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;1. Avant 1946;;Ensemble 2P;8,6;9,7;11,6;13,5;14,7;11,2;400;453;526;575;650;526;47;346;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;1. Avant 1946;;Ensemble 3P;7,3;8,1;9,6;10,8;12,1;9,4;470;581;645;730;850;669;71;236;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;2. Entre 1946-1970;;;7,3;8,3;10,0;11,7;14,3;9,4;400;470;580;700;800;596;63;1059;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;2. Entre 1946-1970;;Ensemble 4P et plus;6,7;7,4;8,5;9,5;10,7;8,2;550;620;731;800;950;735;90;258;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;2. Entre 1946-1970;;Ensemble 1P;10,9;11,8;13,8;16,0;17,6;13,7;330;376;400;437;500;410;30;145;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;2. Entre 1946-1970;;Ensemble 2P;8,3;10,2;11,7;12,8;14,7;11,1;403;440;500;550;602;498;45;263;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;2. Entre 1946-1970;;Ensemble 3P;7,6;8,3;9,4;10,3;11,4;9,4;495;551;600;700;789;623;66;393;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;3. Entre 1971-1990;;;7,9;9,1;10,9;13,2;15,3;10,4;360;400;498;612;730;528;51;2204;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;3. Entre 1971-1990;;Ensemble 4P et plus;6,6;7,6;8,6;9,5;10,5;8,5;529;630;742;900;1025;767;90;331;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;3. Entre 1971-1990;;Ensemble 1P;11,0;12,5;13,7;15,6;18,2;13,7;324;359;395;435;480;398;29;496;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;3. Entre 1971-1990;;Ensemble 2P;8,5;9,5;10,8;12,0;13,5;10,7;390;430;500;545;600;494;46;737;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;3. Entre 1971-1990;;Ensemble 3P;7,0;8,3;9,2;10,6;11,9;9,4;470;558;635;700;749;629;67;640;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;4. Entre 1991-2005;;;8,7;10,0;11,1;13,3;15,2;10,8;405;455;547;700;820;589;54;2359;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;4. Entre 1991-2005;;Ensemble 4P et plus;7,7;8,3;9,2;10,2;11,0;9,3;698;750;840;972;1074;879;94;268;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;4. Entre 1991-2005;;Ensemble 1P;12,1;13,1;14,7;16,6;18,9;14,5;343;379;417;450;494;415;29;386;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;4. Entre 1991-2005;;Ensemble 2P;10,0;10,7;11,8;13,3;14,3;11,8;430;460;510;557;602;513;43;961;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;4. Entre 1991-2005;;Ensemble 3P;8,4;9,3;10,4;11,1;11,6;10,0;546;604;675;720;766;663;66;744;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;5. Après 2005;;;8,8;9,9;10,9;12,0;13,3;10,7;445;509;600;700;840;626;59;2903;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;5. Après 2005;;Ensemble 4P et plus;6,9;8,5;9,8;11,0;12,2;9,8;603;730;840;1056;1120;869;88;297;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;5. Après 2005;;Ensemble 1P;11,0;12,2;13,3;15,3;16,7;13,4;313;355;395;438;500;396;29;326;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;5. Après 2005;;Ensemble 2P;9,9;10,8;11,7;12,5;14,0;11,6;450;480;520;570;613;530;45;1000;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;;5. Après 2005;;Ensemble 3P;8,6;9,6;10,2;11,0;11,6;10,2;561;612;660;720;765;666;65;1280;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Maison;;;;7,3;9,0;10,0;11,3;12,2;9,5;534;694;800;957;1173;843;89;443;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;Maison;2. Entre 1946-1970;;;5,0;7,5;7,8;9,1;10,4;7,3;490;545;720;850;1050;754;103;52;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;Maison;3. Entre 1971-1990;;;7,0;7,4;8,8;9,4;10,6;8,5;600;700;850;902;1123;853;101;148;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;Maison;3. Entre 1971-1990;1. Moins 1 an;;;;;;;;;;;;;;;60;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;Maison;3. Entre 1971-1990;2. Un an et plus;;;;;;;;;;;;;;;88;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;Maison;4. Entre 1991-2005;;;7,4;8,0;8,8;9,8;10,4;8,8;622;729;837;950;1111;858;97;280;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;Maison;4. Entre 1991-2005;1. Moins 1 an;;;;;;;;;;;;;;;86;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;Maison;4. Entre 1991-2005;2. Un an et plus;;;;;;;;;;;;;;;194;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;Maison;5. Après 2005;;;7,2;8,3;9,5;10,3;10,6;9,1;671;722;835;920;975;827;91;290;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;Maison;5. Après 2005;1. Moins 1 an;;;;;;;;;;;;;;;172;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;Maison;5. Après 2005;2. Un an et plus;;;;;;;;;;;;;;;118;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;;;;8,0;9,4;11,0;13,0;15,3;10,5;380;438;530;650;750;561;54;9147;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;;;Appart 1P;11,1;12,5;14,3;16,2;18,9;14,0;330;366;400;436;485;405;29;1709;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;;;Appart 2P;9,0;10,1;11,4;12,8;14,3;11,3;411;455;510;557;610;512;45;3288;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;;;Appart 3P;7,7;8,6;9,9;10,8;11,5;9,6;510;581;640;708;779;645;67;3192;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;;;Appart 4P et plus;6,7;7,6;8,7;9,7;10,9;8,7;553;635;750;899;1090;789;90;958;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;;1. Moins 1 an;;8,7;9,9;11,3;13,5;15,6;11,0;390;450;535;650;750;567;52;3952;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;;1. Moins 1 an;Appart 1P;;;;;;;;;;;;;;842;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;;1. Moins 1 an;Appart 2P;;;;;;;;;;;;;;1388;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;;1. Moins 1 an;Appart 3P;;;;;;;;;;;;;;1390;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;;1. Moins 1 an;Appart 4P et plus;;;;;;;;;;;;;;332;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;;2. Un an et plus;;;;;;;;;;;;;;;5195;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;;2. Un an et plus;Appart 1P;;;;;;;;;;;;;;867;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;;2. Un an et plus;Appart 2P;;;;;;;;;;;;;;1900;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;;2. Un an et plus;Appart 3P;;;;;;;;;;;;;;1802;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;;2. Un an et plus;Appart 4P et plus;;;;;;;;;;;;;;626;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;1. Avant 1946;;;7,7;9,4;11,5;14,1;17,3;10,6;372;417;525;650;819;567;54;994;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;1. Avant 1946;;Appart 1P;11,0;12,7;14,5;17,8;20,5;14,3;335;372;400;430;486;406;28;359;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;1. Avant 1946;;Appart 2P;8,6;9,7;11,6;13,6;15,0;11,2;401;458;525;575;650;525;47;340;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;1. Avant 1946;;Appart 3P;7,1;8,1;9,5;10,8;11,8;9,3;450;588;650;730;850;665;72;217;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;1. Avant 1946;;Appart 4P et plus;6,0;7,3;9,3;10,2;11,9;8,8;615;739;907;1100;1165;941;106;78;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;1. Avant 1946;1. Moins 1 an;;;;;;;;;;;;;;;443;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;1. Avant 1946;2. Un an et plus;;;;;;;;;;;;;;;551;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;2. Entre 1946-1970;;;7,6;8,4;10,0;11,8;14,3;9,7;399;470;565;650;755;569;59;989;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;2. Entre 1946-1970;;Appart 1P;10,9;11,8;13,8;16,0;17,8;13,6;330;372;400;444;500;411;30;144;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;2. Entre 1946-1970;;Appart 2P;8,3;10,2;11,6;12,8;14,7;11,1;412;440;500;550;602;500;45;261;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;2. Entre 1946-1970;;Appart 3P;7,5;8,3;9,3;10,3;11,4;9,3;475;550;600;671;789;617;66;383;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;2. Entre 1946-1970;;Appart 4P et plus;6,9;7,6;8,4;9,2;10,0;8,3;501;600;680;752;820;677;81;201;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;2. Entre 1946-1970;1. Moins 1 an;;;;;;;;;;;;;;;397;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;2. Entre 1946-1970;2. Un an et plus;;;;;;;;;;;;;;;592;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;3. Entre 1971-1990;;;7,9;9,1;11,0;13,2;15,3;10,3;358;400;490;600;700;513;50;2154;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;3. Entre 1971-1990;;Appart 1P;11,0;12,5;13,7;15,6;18,3;13,7;324;358;395;435;480;398;29;495;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;3. Entre 1971-1990;;Appart 2P;8,5;9,5;10,8;12,0;13,5;10,7;390;430;500;545;600;494;46;735;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;3. Entre 1971-1990;;Appart 3P;6,9;8,1;9,2;10,6;11,5;9,2;456;550;630;690;730;615;67;632;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;3. Entre 1971-1990;;Appart 4P et plus;5,8;7,5;8,3;9,2;9,6;8,2;505;605;698;850;967;728;89;292;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;3. Entre 1971-1990;1. Moins 1 an;;;;;;;;;;;;;;;771;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;3. Entre 1971-1990;2. Un an et plus;;;;;;;;;;;;;;;1383;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;4. Entre 1991-2005;;;9,0;10,1;11,3;13,5;15,4;11,1;400;450;525;650;740;562;51;2199;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;4. Entre 1991-2005;;Appart 1P;12,1;13,1;14,7;16,6;18,9;14,5;343;378;417;450;495;415;29;385;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;4. Entre 1991-2005;;Appart 2P;10,0;10,7;11,8;13,3;14,3;11,8;430;460;510;557;602;513;43;961;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;4. Entre 1991-2005;;Appart 3P;8,4;9,2;10,4;11,0;11,4;10,0;541;600;670;718;760;660;66;716;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;4. Entre 1991-2005;;Appart 4P et plus;6,9;8,3;9,1;10,1;11,1;9,2;650;735;820;926;1111;852;93;137;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;4. Entre 1991-2005;1. Moins 1 an;;;;;;;;;;;;;;;867;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;4. Entre 1991-2005;2. Un an et plus;;;;;;;;;;;;;;;1332;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;5. Après 2005;;;8,7;9,9;10,9;12,1;13,3;10,7;441;505;600;699;785;613;57;2811;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;5. Après 2005;;Appart 1P;11,0;12,2;13,3;15,3;16,7;13,4;313;355;395;438;500;396;29;326;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;5. Après 2005;;Appart 2P;9,9;10,8;11,7;12,5;14,0;11,6;450;480;520;561;613;529;45;991;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;5. Après 2005;;Appart 3P;8,6;9,6;10,2;11,0;11,6;10,2;560;608;660;703;753;662;65;1244;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;5. Après 2005;;Appart 4P et plus;6,8;8,3;9,5;10,9;13,1;9,7;554;705;802;1000;1100;841;87;250;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;5. Après 2005;1. Moins 1 an;;;;;;;;;;;;;;;1474;;Estimation directe
B3100;2014;Agglomération de Toulouse;Ville centre;Appartement;5. Après 2005;2. Un an et plus;;;;;;;;;;;;;;;1337;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;;;;7,3;8,5;9,5;10,7;11,8;9,1;425;500;620;780;923;658;72;4287;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;;;Maison 1-3P;;;;;;;;;;;;;;129;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;;;Ensemble 4P et plus;6,5;7,6;8,6;9,7;10,3;8,4;626;722;839;927;1050;850;101;943;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;;;Maison 4P et plus;;;;;;;;;;;;;;685;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;;;Appart 1P;10,7;12,5;13,8;16,1;16,8;13,5;326;348;385;422;470;386;29;176;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;;;Appart 2P;8,7;9,6;10,6;11,4;12,4;10,5;409;438;476;515;568;480;46;1698;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;;;Appart 3P;8,0;8,8;9,5;10,4;11,3;9,6;520;560;609;665;725;616;64;1341;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;;;Appart 4P et plus;6,2;6,6;8,2;9,2;10,0;8,0;591;622;684;779;839;703;88;258;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;;;Ensemble 1P;10,7;12,5;13,8;16,1;16,8;13,5;326;348;385;422;470;386;29;176;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;;;Ensemble 2P;8,6;9,4;10,5;11,4;12,4;10,4;411;440;481;515;575;482;46;1711;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;;;Ensemble 3P;7,6;8,6;9,5;10,4;11,3;9,3;521;565;622;680;750;626;67;1457;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;;1. Moins 1 an;;7,6;8,7;9,8;10,8;12,1;9,4;420;490;600;740;887;636;68;1982;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;;1. Moins 1 an;Ensemble 4P et plus;;;;;;;;;;;;;;388;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;;1. Moins 1 an;Ensemble 1P;;;;;;;;;;;;;;84;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;;1. Moins 1 an;Ensemble 2P;;;;;;;;;;;;;;806;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;;1. Moins 1 an;Ensemble 3P;;;;;;;;;;;;;;704;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;;2. Un an et plus;;;;;;;;;;;;;;;2305;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;;2. Un an et plus;Ensemble 4P et plus;;;;;;;;;;;;;;555;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;;2. Un an et plus;Ensemble 1P;;;;;;;;;;;;;;92;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;;2. Un an et plus;Ensemble 2P;;;;;;;;;;;;;;905;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;;2. Un an et plus;Ensemble 3P;;;;;;;;;;;;;;753;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;1. Avant 1946;;;5,6;7,2;8,6;10,4;11,3;8,1;380;485;588;670;925;594;72;86;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;1. Avant 1946;;Ensemble 4P et plus;;;;;;;;;;;;;;35;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;1. Avant 1946;;Ensemble 1P;;;;;;;;;;;;;;9;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;1. Avant 1946;;Ensemble 2P;;;;;;;;;;;;;;24;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;1. Avant 1946;;Ensemble 3P;;;;;;;;;;;;;;18;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;2. Entre 1946-1970;;;5,9;6,5;8,0;9,1;11,4;7,6;454;504;625;750;918;672;89;120;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;2. Entre 1946-1970;;Ensemble 4P et plus;5,9;6,3;7,7;8,2;10,1;7,2;500;613;710;850;1019;766;107;61;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;2. Entre 1946-1970;;Ensemble 1P;;;;;;;;;;;;;;5;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;2. Entre 1946-1970;;Ensemble 2P;;;;;;;;;;;;;;22;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;2. Entre 1946-1970;;Ensemble 3P;;;;;;;;;;;;;;32;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;3. Entre 1971-1990;;;6,7;7,7;9,0;10,0;11,2;8,6;463;565;700;874;977;740;86;296;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;3. Entre 1971-1990;;Ensemble 4P et plus;6,5;7,3;8,6;9,2;10,3;8,2;652;720;850;908;1123;868;105;163;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;3. Entre 1971-1990;;Ensemble 1P;;;;;;;;;;;;;;14;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;3. Entre 1971-1990;;Ensemble 2P;8,2;8,8;9,8;10,5;11,6;9,7;420;469;513;540;553;505;52;53;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;3. Entre 1971-1990;;Ensemble 3P;7,0;8,3;9,3;10,3;11,7;9,1;514;569;619;670;700;620;68;66;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;4. Entre 1991-2005;;;7,9;8,8;9,8;10,8;12,6;9,5;410;483;590;780;923;640;67;1769;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;4. Entre 1991-2005;;Ensemble 4P et plus;7,4;8,0;8,9;9,7;10,2;8,8;680;778;850;950;1117;884;101;351;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;4. Entre 1991-2005;;Ensemble 1P;11,1;12,5;13,8;16,4;17,4;13,8;305;343;370;410;470;380;27;96;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;4. Entre 1991-2005;;Ensemble 2P;9,1;9,8;10,5;11,3;12,6;10,5;415;440;480;520;562;483;46;713;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;4. Entre 1991-2005;;Ensemble 3P;7,9;8,7;9,5;10,4;11,3;9,5;526;564;620;676;726;622;66;609;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;5. Après 2005;;;8,1;9,0;9,9;10,9;11,8;9,5;440;499;630;760;908;653;68;2016;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;5. Après 2005;;Ensemble 4P et plus;7,0;8,1;9,1;10,0;10,5;8,9;693;746;860;925;975;849;95;333;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;5. Après 2005;;Ensemble 1P;9,7;11,7;12,6;14,2;15,4;12,6;339;348;380;440;479;397;31;52;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;5. Après 2005;;Ensemble 2P;9,1;9,9;11,0;11,7;12,3;10,8;418;435;473;504;566;478;44;899;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;;5. Après 2005;;Ensemble 3P;8,2;9,1;9,7;10,5;11,3;9,6;530;577;630;683;750;630;66;732;;Estimation directe
B3100;2014;Agglomération de Toulouse;Périphérie;Maison;;;;6,7;7,9;8,9;9,9;10,6;8,6;588;692;810;920;1027;819;96;814;;Estimation directe
B3100;2014;Agglomération de Toulouse;;Maison;;;Maison 1-3P;7,2;8,5;9,7;11,3;12,2;9,6;410;544;622;700;780;631;66;257;;Estimation directe
B3100;2014;Agglomération de Toulouse;;Maison;;;Maison 4P et plus;6,7;7,8;9,0;10,0;10,7;8,6;700;775;870;971;1142;900;104;1000;;Estimation directe
B3100;2014;Agglomération de Toulouse;;Maison;;1. Moins 1 an;Maison 1-3P;;;;;;;;;;;;;;116;;Estimation directe
B3100;2014;Agglomération de Toulouse;;Maison;;1. Moins 1 an;Maison 4P et plus;;;;;;;;;;;;;;366;;Estimation directe
B3100;2014;Agglomération de Toulouse;;Maison;;2. Un an et plus;Maison 1-3P;;;;;;;;;;;;;;141;;Estimation directe
B3100;2014;Agglomération de Toulouse;;Maison;;2. Un an et plus;Maison 4P et plus;;;;;;;;;;;;;;634;;Estimation directe
B3100;2014;Agglomération de Toulouse;;Maison;1. Avant 1946;;Maison 1-3P;;;;;;;;;;;;;;42;;Estimation directe
B3100;2014;Agglomération de Toulouse;;Maison;1. Avant 1946;;Maison 4P et plus;;;;;;;;;;;;;;73;;Estimation directe
B3100;2014;Agglomération de Toulouse;;Maison;1. Avant 1946;1. Moins 1 an;;;;;;;;;;;;;;;34;;Estimation directe
